id;cp;lat;lon;nom;origin;exp
89353;89330;48.02333;3.17556;Saint-Martin-d'Ordon;fr;0
89354;89100;48.21361;3.25917;Saint-Martin-du-Tertre;fr;0
89355;89700;47.87250;4.06944;Saint-Martin-sur-Armançon;fr;0
89359;89190;48.35056;3.51389;Saint-Maurice-aux-Riches-Hommes;fr;0
89360;89110;47.82306;3.35083;Saint-Maurice-le-Vieil;fr;0
89361;89110;47.83389;3.36194;Saint-Maurice-Thizouaille;fr;0
89362;89270;47.57611;3.77556;Saint-Moré;fr;0
89363;89460;47.64972;3.67028;Sainte-Pallaye;fr;0
89364;89450;47.45972;3.76500;Saint-Père;fr;0
89365;89220;47.68333;3.00056;Saint-Privé;fr;0
89367;89520;47.62083;3.26167;Saints-en-Puisaye;fr;0
89368;89520;47.61833;3.19722;Saint-Sauveur-en-Puisaye;fr;0
89369;89140;48.24722;3.15778;Saint-Sérotin;fr;0
89370;89150;48.17917;3.09500;Saint-Valérien;fr;0
89371;89310;47.74944;3.91583;Sainte-Vertu;fr;0
89373;89100;48.21333;3.35333;Saligny;fr;0
89374;89160;47.76778;4.02222;Sambourg;fr;0
89375;89420;47.56750;4.12139;Santigny;fr;0
89376;89310;47.66889;4.07306;Sarry;fr;0
89377;89420;47.48694;4.10917;Sauvigny-le-Beuréal;fr;0
89378;89200;47.51306;3.94083;Sauvigny-le-Bois;fr;0
89379;89420;47.49583;4.08583;Savigny-en-Terre-Plaine;fr;0
89380;89150;48.07472;3.09333;Savigny-sur-Clairis;fr;0
89382;89250;47.90333;3.60167;Seignelay;fr;0
89383;89560;47.63361;3.34917;Sementron;fr;0
89384;89710;47.91333;3.35917;Senan;fr;0
89385;89160;47.80639;4.29083;Sennevoy-le-Bas;fr;0
89386;89160;47.80750;4.28056;Sennevoy-le-Haut;fr;0
89387;89100;48.19722;3.28333;Sens;fr;0
89388;89116;47.94250;3.23556;Sépeaux-Saint Romain;fr;0
89390;89140;48.32083;3.20472;Serbonnes;fr;0
89391;89140;48.34222;3.26139;Sergines;fr;0
89392;89200;47.53639;3.79333;Sermizelles;fr;0
89393;89700;47.83528;3.91389;Serrigny;fr;0
89394;89270;47.61806;3.68389;Sery;fr;0
89395;89190;48.18000;3.51861;Les Sièges;fr;0
89397;89110;47.84944;3.23278;Sommecaise;fr;0
89398;89570;48.08778;3.77139;Sormery;fr;0
89399;89100;48.24944;3.32417;Soucy;fr;0
89400;89520;47.55917;3.32833;Sougères-en-Puisaye;fr;0
89402;89570;48.01556;3.83306;Soumaintrain;fr;0
89403;89160;47.77389;4.23278;Stigny;fr;0
89404;89100;48.16694;3.20333;Subligny;fr;0
89405;89560;47.61611;3.40389;Les Hauts de Forterre;fr;0
89406;89420;47.57222;4.06944;Talcy;fr;0
89407;89430;47.84639;4.08667;Tanlay;fr;0
89408;89350;47.73500;3.13111;Tannerre-en-Puisaye;fr;0
89409;89450;47.46250;3.80472;Tharoiseau;fr;0
89410;89200;47.52778;3.85917;Tharot;fr;0
89411;89320;48.16778;3.42944;Les Vallées de la Vanne;fr;0
89412;89420;47.57056;4.05500;Thizy;fr;0
89413;89430;47.90333;4.12222;Thorey;fr;0
89414;89260;48.29250;3.40167;Thorigny-sur-Oreuse;fr;0
89415;89200;47.56500;3.91306;Thory;fr;0
89416;89520;47.58639;3.29444;Thury;fr;0
89417;89700;47.85167;3.90278;Tissey;fr;0
89418;89700;47.85528;3.97333;Tonnerre;fr;0
89419;89130;47.73639;3.29333;Toucy;fr;0
89420;89520;47.55083;3.18417;Treigny-Perreuse-Sainte-Colombe;fr;0
89422;89430;47.93028;4.14056;Trichey;fr;0
89423;89700;47.91444;3.94111;Tronchoy;fr;0
89424;89460;47.62806;3.65972;Trucy-sur-Yonne;fr;0
89425;89570;48.03500;3.74639;Turny;fr;0
89426;89580;47.67583;3.58861;Val-de-Mercy;fr;0
89427;89580;47.74472;3.53861;Vallan;fr;0
89428;89150;48.24083;3.04694;Vallery;fr;0
89430;89144;47.90556;3.78306;Varennes;fr;0
89431;89420;47.56917;4.16778;Vassy-sous-Pisy;fr;0
89432;89320;48.13361;3.55056;Vaudeurs;fr;0
89433;89200;47.49833;3.85056;Vault-de-Lugny;fr;0
89434;89320;48.15472;3.43917;Vaumort;fr;0
89436;89210;48.03556;3.70889;Venizy;fr;0
89437;89230;47.89556;3.68278;Venouse;fr;0
89438;89290;47.80556;3.63694;Venoy;fr;0
89439;89600;47.97028;3.71917;Vergigny;fr;0
89440;89330;48.01694;3.23278;Verlin;fr;0
89441;89270;47.66500;3.73528;Vermenton;fr;0
89442;89150;48.09528;3.12500;Vernoy;fr;0
89443;89510;48.12889;3.30722;Véron;fr;0
89445;89700;47.87667;3.87472;Vézannes;fr;0
89446;89450;47.46583;3.74583;Vézelay;fr;0
89447;89700;47.89250;3.94333;Vézinnes;fr;0
89449;89340;48.32444;3.08167;Villeblevin;fr;0
89450;89150;48.20444;3.15972;Villebougis;fr;0
89451;89320;48.09500;3.51139;Villechétive;fr;0
89452;89300;48.00722;3.32944;Villecien;fr;0
89453;89240;47.78250;3.50417;Villefargeau;fr;0
89456;89140;48.30028;3.18139;Villemanoche;fr;0
89458;89140;48.24889;3.23833;Villenavotte;fr;0
89459;89150;48.13806;3.13583;Villeneuve-la-Dondagre;fr;0
89460;89340;48.34000;3.06444;Villeneuve-la-Guyard;fr;0
89461;89190;48.23556;3.55583;Villeneuve-l'Archevêque;fr;0
89462;89350;47.73667;3.09139;Villeneuve-les-Genêts;fr;0
89463;89230;47.85472;3.65083;Villeneuve-Saint-Salves;fr;0
89464;89500;48.08139;3.29667;Villeneuve-sur-Yonne;fr;0
89465;89140;48.26194;3.22833;Villeperrot;fr;0
89466;89100;48.17306;3.18639;Villeroy;fr;0
89467;89140;48.26389;3.07361;Villethierry;fr;0
89468;89330;48.02472;3.31389;Villevallier;fr;0
89469;89260;48.35278;3.40750;Perceneige;fr;0
89470;89160;47.72639;4.14833;Villiers-les-Hauts;fr;0
89471;89320;48.19083;3.40250;Villiers-Louis;fr;0
89472;89130;47.78167;3.21083;Villiers-Saint-Benoît;fr;0
89474;89360;47.94333;3.83417;Villiers-Vineux;fr;0
89475;89740;47.90972;4.18917;Villon;fr;0
89477;89800;47.86778;3.75111;Villy;fr;0
89478;89290;47.70417;3.63167;Vincelles;fr;0
89479;89290;47.70722;3.64028;Vincelottes;fr;0
89480;89140;48.35056;3.13500;Vinneuf;fr;0
89481;89160;47.78639;4.04917;Vireaux;fr;0
89482;89700;47.80333;3.92111;Viviers;fr;0
89483;89260;48.25139;3.39389;Voisines;fr;0
89485;89270;47.56194;3.78472;Voutenay-sur-Cure;fr;0
89486;89700;47.79389;3.94806;Yrouerre;fr;0
90001;90400;47.60250;6.86861;Andelnans;fr;0
90002;90150;47.69639;7.01389;Angeot;fr;0
90003;90170;47.70111;6.93250;Anjoutey;fr;0
90004;90800;47.60389;6.82278;Argiésans;fr;0
90005;90200;47.73417;6.78056;Auxelles-Bas;fr;0
90006;90200;47.74333;6.77306;Auxelles-Haut;fr;0
90007;90800;47.59222;6.81472;Banvillars;fr;0
90008;90800;47.61944;6.83056;Bavilliers;fr;0
90009;90500;47.48611;6.92528;Beaucourt;fr;0
90010;90000;47.64111;6.84944;Belfort;fr;0
90011;90400;47.58000;6.85333;Bermont;fr;0
90012;90160;47.64556;6.93222;Bessoncourt;fr;0
90013;90150;47.68056;6.96222;Bethonvilliers;fr;0
90014;90100;47.56111;7.01028;Boron;fr;0
90015;90400;47.59667;6.85028;Botans;fr;0
90016;90110;47.70194;6.94750;Bourg-sous-Châtelet;fr;0
90017;90140;47.56222;6.91778;Bourogne;fr;0
90018;90140;47.57833;6.97250;Brebotte;fr;0
90019;90130;47.59528;6.99778;Bretagne;fr;0
90020;90800;47.61472;6.78528;Buc;fr;0
90021;90140;47.57389;6.93806;Charmois;fr;0
90022;90700;47.55917;6.84833;Châtenois-les-Forges;fr;0
90023;90330;47.70556;6.83750;Chaux;fr;0
90024;90100;47.57972;7.06694;Chavanatte;fr;0
90025;90100;47.59111;7.04694;Chavannes-les-Grands;fr;0
90026;90340;47.62889;6.92306;Chèvremont;fr;0
90027;90100;47.49833;7.07639;Courcelles;fr;0
90028;90100;47.51722;7.08000;Courtelevant;fr;0
90029;90300;47.65389;6.83250;Cravanche;fr;0
90030;90100;47.44528;6.95472;Croix;fr;0
90031;90150;47.62583;6.99722;Cunelières;fr;0
90032;90400;47.61778;6.86389;Danjoutin;fr;0
